,delta_30d,delta_90d,period,surplus_buffer
951,42048453.649674535,64768297.59015798,2021-08-19 00:00:00+00:00,51684811.89390146
952,41971199.96434979,62561739.28788628,2021-08-18 00:00:00+00:00,51559548.34370397
953,41625318.82910665,52884667.95997629,2021-08-17 00:00:00+00:00,51433256.40979066
954,11791707.501731532,64780602.24541215,2021-08-16 00:00:00+00:00,51319838.402584895
955,12413481.663778583,66231569.10051328,2021-08-15 00:00:00+00:00,51197871.02146388
956,12750779.986588763,64826566.67749711,2021-08-14 00:00:00+00:00,51047794.598892644
957,13661964.953850256,66777160.41361293,2021-08-13 00:00:00+00:00,50942041.32191961
958,14443595.217440398,67773256.27412203,2021-08-12 00:00:00+00:00,50824081.97970488
959,15588508.500005867,67895334.46159822,2021-08-11 00:00:00+00:00,50695556.74614657
960,16089120.807429235,69066449.62804025,2021-08-10 00:00:00+00:00,50552529.99352132
961,16741127.181837723,69784312.21177861,2021-08-09 00:00:00+00:00,50427672.798023626
962,17866060.29532964,70546454.97242114,2021-08-08 00:00:00+00:00,50318990.86876016
963,18312461.68135096,72006867.51996325,2021-08-07 00:00:00+00:00,50203945.35598069
964,19052549.92337653,72818203.95087768,2021-08-06 00:00:00+00:00,50081512.03085864
965,20089322.241793416,73948682.76066293,2021-08-05 00:00:00+00:00,49976442.291898265
966,20967774.26770304,75403842.2742145,2021-08-04 00:00:00+00:00,49872687.98923664
967,22035562.85335853,76819414.47520156,2021-08-03 00:00:00+00:00,49760396.39699301
968,23044054.36640164,78223745.76496658,2021-08-02 00:00:00+00:00,49658747.925416544
969,24116997.11810044,79541964.72518826,2021-08-01 00:00:00+00:00,49558103.899320446
970,24860936.29824279,80830391.1452769,2021-07-31 00:00:00+00:00,49434383.0999894
971,25607734.31016449,82030918.01515925,2021-07-30 00:00:00+00:00,49318436.56481186
972,27116723.857929613,83307473.6186095,2021-07-29 00:00:00+00:00,49207111.71615251
973,27997239.739462312,84451066.04204847,2021-07-28 00:00:00+00:00,49087491.637417585
974,28725286.608532052,76903647.16322047,2021-07-27 00:00:00+00:00,48964425.74543115
975,29323471.74281057,80883566.26835409,2021-07-26 00:00:00+00:00,48846087.97543572
976,30988949.894654937,81979309.12590815,2021-07-25 00:00:00+00:00,48739243.52044783
977,30340940.87217215,83033236.39938475,2021-07-24 00:00:00+00:00,48623383.431080095
978,31492556.964534014,84217031.16390441,2021-07-23 00:00:00+00:00,48536385.46940727
979,33034241.097201448,85342721.44200003,2021-07-22 00:00:00+00:00,48434869.91432377
980,39525684.345060885,86896230.05125028,2021-07-21 00:00:00+00:00,48331029.78444876
981,43642593.623078994,87995690.90540564,2021-07-20 00:00:00+00:00,48228774.60762684
982,49060246.843504846,89025304.07405923,2021-07-19 00:00:00+00:00,48109860.67540125
983,51731407.87657037,90133463.9186242,2021-07-18 00:00:00+00:00,48011997.327946275
984,84883417.85259643,101106922.0308515,2021-07-17 00:00:00+00:00,50350656.96408641
985,86748717.68564466,102182010.88952523,2021-07-16 00:00:00+00:00,50177584.85731769
986,88991800.58209379,103112011.89298874,2021-07-15 00:00:00+00:00,49999785.284926444
987,90795357.31775399,103783027.83788252,2021-07-14 00:00:00+00:00,49819140.09283603
988,92682311.98493189,104500042.33902857,2021-07-13 00:00:00+00:00,49636937.16731252
989,94349601.94196117,104943721.63674827,2021-07-12 00:00:00+00:00,49414309.47217348
