,balance,inflow,interest,outflow,period
275,183896557.26109937,2576377.3496188717,19830.40576516531,,2023-06-26 00:00:00.000
276,181300349.50571534,1064536.7022771626,13180.921600115762,,2023-06-25 00:00:00.000
277,180222631.88183805,3552902.425087535,18699.44488760464,,2023-06-24 00:00:00.000
278,176651030.0118629,,14048.260805652764,,2023-06-23 00:00:00.000
279,167601446.21550384,4021777.337296728,17473.97873790687,,2023-06-22 00:00:00.000
280,163562194.8994692,14984935.575515544,13930.763488265671,,2023-06-21 00:00:00.000
281,148563328.5604654,18583382.93188318,11879.105384417784,,2023-06-20 00:00:00.000
282,129968066.5231978,23529203.55947082,6890.041505400086,,2023-06-19 00:00:00.000
283,106431972.92222159,,3185.807696466749,,2023-06-18 00:00:00.000
284,106133575.59495072,865277.1564454789,2423.7116814385577,,2023-06-17 00:00:00.000
285,105265874.7268238,79915.40886858749,4387.1730833580605,,2023-06-16 00:00:00.000
286,105181572.14487186,,6602.329821340665,101.29467572347585,2023-06-15 00:00:00.000
287,105175071.10972625,,,,2023-06-14 00:00:00.000
288,105175071.10972625,,830.9275371120959,,2023-06-13 00:00:00.000
289,105154249.05376689,,2456.901114735494,,2023-06-12 00:00:00.000
290,101151792.15265216,,8385.96824807448,,2023-06-11 00:00:00.000
291,100768358.2240468,,,,2023-06-10 00:00:00.000
292,100768358.2240468,,,,2023-06-09 00:00:00.000
293,100768358.2240468,,3204.350770742221,25.46401389595121,2023-06-08 00:00:00.000
294,100765179.33728994,,2804.54893184943,,2023-06-07 00:00:00.000
295,100762374.78835809,,2384.788308053255,,2023-06-06 00:00:00.000
296,100758800.00005004,,2906.543714316182,34406.379036058686,2023-06-05 00:00:00.000
297,100790299.83537178,34279.86304430496,3898.751238173624,,2023-06-04 00:00:00.000
298,100752121.2210893,,4908.61982622843,,2023-06-03 00:00:00.000
299,100674253.06795056,,,,2023-06-02 00:00:00.000
300,100674253.06795056,172.17668446735308,5761.367326409772,,2023-06-01 00:00:00.000
301,100668319.52393968,,,,2023-05-31 00:00:00.000
302,100668319.52393968,,7273.286563434999,,2023-05-30 00:00:00.000
303,101661404.84274375,,,,2023-05-29 00:00:00.000
304,101661404.84274375,,,,2023-05-28 00:00:00.000
305,101661404.84274375,49961.12557403988,4051.113613334303,,2023-05-27 00:00:00.000
306,101607392.60355638,,7515.490146124137,,2023-05-26 00:00:00.000
307,101599937.39272965,,,,2023-05-25 00:00:00.000
308,101599937.39272965,,,,2023-05-24 00:00:00.000
309,101599937.39272965,,2105.918743317791,,2023-05-23 00:00:00.000
310,101609227.85616444,,9502.934355405981,30039.61566427461,2023-05-22 00:00:00.000
311,101629764.5374733,,,,2023-05-21 00:00:00.000
312,101629764.5374733,,,,2023-05-20 00:00:00.000
313,101629764.5374733,,8028.749074270215,,2023-05-19 00:00:00.000
314,101610301.2525674,,,,2023-05-18 00:00:00.000
315,101610301.2525674,,,,2023-05-17 00:00:00.000
316,101610301.2525674,400.00000000000006,3989.8846791112564,,2023-05-16 00:00:00.000
317,101605911.36788829,,3027.3449802246487,29996.002956794615,2023-05-15 00:00:00.000
318,101632880.02586485,,22208.434801407857,,2023-05-14 00:00:00.000
319,101610721.83059824,,,,2023-05-13 00:00:00.000
320,101610721.83059824,,,,2023-05-12 00:00:00.000
321,101610721.83059824,,,,2023-05-11 00:00:00.000
322,101610721.83059824,,,,2023-05-10 00:00:00.000
323,101610721.83059824,,,,2023-05-09 00:00:00.000
324,101610721.83059824,,,,2023-05-08 00:00:00.000
325,101610721.83059824,,,,2023-05-07 00:00:00.000
326,101610721.83059824,4989999.742227072,2507.3825705384343,,2023-05-06 00:00:00.000
327,96618214.70580062,,7537.077326069958,,2023-05-05 00:00:00.000
328,96600677.62847455,,,,2023-05-04 00:00:00.000
329,96600677.62847455,,,,2023-05-03 00:00:00.000
330,96600677.62847455,,10671.65838681408,,2023-05-02 00:00:00.000
331,96595107.37022308,,,,2023-05-01 00:00:00.000
332,96595107.37022308,,,,2023-04-30 00:00:00.000
333,96595107.37022308,,,,2023-04-29 00:00:00.000
334,96595107.37022308,,7562.48597713975,,2023-04-28 00:00:00.000
