,dt,maturity,outflow,outflow_dai_only,outflow_surplus_buffer,total_period
4497,2022-03-02 00:00:00+00:00,1-week,1154847266.010013,1154847266.010013,0.0,9372411238.040518
4498,2022-03-02 00:00:00+00:00,1-day,905972914.2683713,905972914.2683713,0.0,9372411238.040518
4499,2022-03-02 00:00:00+00:00,1-month,263316428.46284372,263316428.46284372,0.0,9372411238.040518
4500,2022-03-01 00:00:00+00:00,1-year,5784389345.572867,5720186792.787218,64202552.7856488,9443559211.988026
4501,2022-03-01 00:00:00+00:00,1-week,1169565614.9369655,1169565614.9369655,0.0,9443559211.988026
4502,2022-03-01 00:00:00+00:00,1-day,914235771.9712071,914235771.9712071,0.0,9443559211.988026
4503,2022-03-01 00:00:00+00:00,3-months,394052607.14053017,394052607.14053017,0.0,9443559211.988026
4504,2022-03-01 00:00:00+00:00,1-block,914235771.9712071,914235771.9712071,0.0,9443559211.988026
4505,2022-03-01 00:00:00+00:00,1-month,267080100.3952482,267080100.3952482,0.0,9443559211.988026
4506,2022-02-28 00:00:00+00:00,3-months,394706881.2163055,394706881.2163055,0.0,9423373413.148151
4507,2022-02-28 00:00:00+00:00,1-month,267523552.8243848,267523552.8243848,0.0,9423373413.148151
4508,2022-02-28 00:00:00+00:00,1-year,5764697830.315298,5699956686.660826,64741143.65447168,9423373413.148151
4509,2022-02-28 00:00:00+00:00,1-block,912995125.103187,912995125.103187,0.0,9423373413.148151
4510,2022-02-28 00:00:00+00:00,1-day,912995125.103187,912995125.103187,0.0,9423373413.148151
4511,2022-02-28 00:00:00+00:00,1-week,1170454898.5857904,1170454898.5857904,0.0,9423373413.148151
4512,2022-02-27 00:00:00+00:00,3-months,392240857.726,392240857.726,0.0,9392425689.959618
4513,2022-02-27 00:00:00+00:00,1-day,909403472.6805971,909403472.6805971,0.0,9392425689.959618
4514,2022-02-27 00:00:00+00:00,1-year,5751577457.153316,5687109820.681672,64467636.471643545,9392425689.959618
4515,2022-02-27 00:00:00+00:00,1-block,909403472.6805971,909403472.6805971,0.0,9392425689.959618
4516,2022-02-27 00:00:00+00:00,1-month,265852136.90317777,265852136.90317777,0.0,9392425689.959618
4517,2022-02-27 00:00:00+00:00,1-week,1163948292.8159292,1163948292.8159292,0.0,9392425689.959618
4518,2022-02-26 00:00:00+00:00,3-months,392525442.0052603,392525442.0052603,0.0,9394992623.130249
4519,2022-02-26 00:00:00+00:00,1-month,266045021.80356532,266045021.80356532,0.0,9394992623.130249
4520,2022-02-26 00:00:00+00:00,1-day,909757221.1936095,909757221.1936095,0.0,9394992623.130249
4521,2022-02-26 00:00:00+00:00,1-year,5752231723.641476,5687937868.812818,64293854.82865862,9394992623.130249
4522,2022-02-26 00:00:00+00:00,1-week,1164675993.292728,1164675993.292728,0.0,9394992623.130249
4523,2022-02-26 00:00:00+00:00,1-block,909757221.1936095,909757221.1936095,0.0,9394992623.130249
4524,2022-02-25 00:00:00+00:00,1-week,1163312994.2373304,1163312994.2373304,0.0,9406401199.421795
4525,2022-02-25 00:00:00+00:00,1-year,5765257943.45723,5701126310.42749,64131633.02973864,9406401199.421795
4526,2022-02-25 00:00:00+00:00,1-month,265539598.95380297,265539598.95380297,0.0,9406401199.421795
4527,2022-02-25 00:00:00+00:00,1-day,910255463.306041,910255463.306041,0.0,9406401199.421795
4528,2022-02-25 00:00:00+00:00,3-months,391779736.16134864,391779736.16134864,0.0,9406401199.421795
4529,2022-02-25 00:00:00+00:00,1-block,910255463.306041,910255463.306041,0.0,9406401199.421795
4530,2022-02-24 00:00:00+00:00,1-week,1200563205.0788548,1200563205.0788548,0.0,9541705602.078955
4531,2022-02-24 00:00:00+00:00,1-block,928003440.5406922,928003440.5406922,0.0,9541705602.078955
4532,2022-02-24 00:00:00+00:00,1-day,928003440.5406922,928003440.5406922,0.0,9541705602.078955
4533,2022-02-24 00:00:00+00:00,3-months,406413262.87576574,406413262.87576574,0.0,9541705602.078955
4534,2022-02-24 00:00:00+00:00,1-month,275457878.1713523,275457878.1713523,0.0,9541705602.078955
