period,collateral,daily_revenues
2024-01-27,WSTETH-B,37716.89799982212
2024-01-26,ETH-A,49482.541297306314
2024-01-26,ETH-B,20394.27827716476
2024-01-26,ETH-C,89225.31465794833
2024-01-26,WBTC-A,16992.64122653076
2024-01-26,WBTC-B,4543.904982131573
2024-01-26,WSTETH-A,99532.79717331562
2024-01-26,WSTETH-B,39505.193063634535
2024-01-25,ETH-A,44684.595043736095
2024-01-25,ETH-B,14714.009239425719
2024-01-25,WBTC-A,22781.549512993675
2024-01-25,WBTC-B,3877.731746891537
2024-01-25,WSTETH-A,34017.61786641018
2024-01-25,WSTETH-B,46174.84889721687
2024-01-24,ETH-A,29524.74441115388
2024-01-24,ETH-B,17874.606314079534
2024-01-24,ETH-C,76900.24980072853
2024-01-24,RWA002-A,19330.465370287136
2024-01-24,RWA013-A,7232.48233065237
2024-01-24,RWA014-A,0.0
2024-01-24,WBTC-A,29407.371670652563
2024-01-24,WBTC-B,3731.7472461728103
2024-01-24,WBTC-C,13192.790264160427
2024-01-24,WSTETH-A,141185.34027558326
2024-01-24,WSTETH-B,28781.79483128615
2024-01-23,ETH-A,45957.44444917754
2024-01-23,ETH-B,31605.658562977973
2024-01-23,ETH-C,50910.994175760534
2024-01-23,RWA013-A,172385.2334371461
2024-01-23,WBTC-A,26035.359478510443
2024-01-23,WBTC-B,4607.189262769705
2024-01-23,WBTC-C,11437.445426491746
2024-01-23,WSTETH-B,30453.00873100877
2024-01-22,ETH-A,45219.80634384868
2024-01-22,ETH-B,29069.03802737671
2024-01-22,ETH-C,47155.53250134525
2024-01-22,RWA007-A,0.0
2024-01-22,WBTC-A,19281.420513156365
2024-01-22,WBTC-B,12397.534985452507
2024-01-22,WSTETH-A,87671.08845822529
2024-01-22,WSTETH-B,39882.550432450866
2024-01-21,ETH-A,33722.96869780673
2024-01-21,ETH-B,26874.225519343734
2024-01-21,ETH-C,61844.897688768004
2024-01-21,WBTC-A,14809.72032956088
2024-01-21,WBTC-C,17899.479384048394
2024-01-21,WSTETH-A,70307.76380102999
2024-01-21,WSTETH-B,41331.95341991059
2024-01-20,ETH-A,46722.143526026724
2024-01-20,ETH-B,17758.18441117937
2024-01-20,ETH-C,62807.467757885264
2024-01-20,RWA007-A,0.0
2024-01-20,RWA015-A,0.0
2024-01-20,WBTC-A,39367.504474130554
2024-01-20,WBTC-B,1674.4874024737944
2024-01-20,WSTETH-A,63604.31329994233
2024-01-20,WSTETH-B,34218.87428331038
2024-01-19,ETH-A,46785.16997944056
2024-01-19,ETH-B,30028.8103767096
2024-01-19,ETH-C,77200.97012234047
2024-01-19,WBTC-A,2300.6683417057016
2024-01-19,WBTC-B,3494.851037041142
2024-01-19,WBTC-C,8171.001254760512
2024-01-19,WSTETH-A,78665.66051239529
2024-01-19,WSTETH-B,49938.922899308294
2024-01-18,DIRECT-SPARK-DAI,0.0
2024-01-18,ETH-A,45556.76486062833
2024-01-18,ETH-B,32278.087074014427
2024-01-18,ETH-C,54248.778208229334
2024-01-18,RWA007-A,0.0
2024-01-18,RWA012-A,137589.673764352
2024-01-18,WBTC-A,22416.88034647672
2024-01-18,WBTC-B,4464.580720315691
2024-01-18,WBTC-C,9228.834346826123
2024-01-18,WSTETH-A,90162.14691237606
2024-01-18,WSTETH-B,32962.64246638492
2024-01-17,ETH-A,32955.10630999412
2024-01-17,ETH-B,16462.712660477653
2024-01-17,ETH-C,42606.448797543446
2024-01-17,RWA015-A,0.0
