Cycle Day,ETH Vault_collateral_usd,stETH Vault_collateral_usd,BTC Vault_collateral_usd,Altcoin Vault_collateral_usd,Stablecoin Vault_collateral_usd,LP Vault_collateral_usd,PSM Vault_collateral_usd,Step
2022-09-02 00:00:00+00:00,2302100922.1901965,288106551.3776467,78412179.58420849,184065781.36200333,172273610.65501615,1112382331.6689897,4750702943.216812,After
2022-09-03 00:00:00+00:00,2287330691.053966,325615636.71702695,128987670.29156017,186641238.91397476,180163792.78743955,1151079976.9308,4597901915.794647,After
2022-09-04 00:00:00+00:00,2268779715.12849,319415958.69980836,152377104.92197704,185084424.789608,184521517.68218443,1186804590.5105119,4458943065.768143,After
2022-09-05 00:00:00+00:00,2312328751.5180163,338056254.95949674,189395096.03043652,187050188.76575089,189307126.66272184,1206315978.1958451,4319208941.506134,After
2022-09-06 00:00:00+00:00,2346607805.461162,405737921.06493974,267743022.5404768,189719924.96849442,202745751.07390043,1116880581.1568742,4287259127.278778,After
2022-09-07 00:00:00+00:00,2442587935.3258166,406581008.99309754,252044257.78844738,192682690.84202957,211080294.3708975,1173194942.1070695,4253876698.300934,After
2022-09-08 00:00:00+00:00,2460971587.0006213,432257143.70942044,345044055.36938,193506687.14404678,215841155.65958616,1188168442.8923478,4182701359.773163,After
2022-09-09 00:00:00+00:00,2590263046.6877856,356113203.0276072,139420654.40430737,190280002.83507156,180748505.37191984,1045169239.7465653,4770613153.294205,After
2022-09-10 00:00:00+00:00,2549410336.1633105,443014961.4787028,200224460.88878918,190402126.20521164,188311364.40587065,1062133284.8065934,4647477636.014069,After
2022-09-11 00:00:00+00:00,2675727001.0305896,421558766.059746,291562061.6183882,194561197.77756882,196114677.51189634,1077681165.7622514,4533834389.369995,After
2022-09-12 00:00:00+00:00,2572405344.1473193,433021762.04745793,369627850.40778637,196641227.88142776,203019576.80526945,1091248982.9167924,4442277242.406616,After
2022-09-13 00:00:00+00:00,2299874974.019481,437671678.2838385,337376497.8332014,191022324.7342415,209509695.784548,1125119701.4789872,4363659983.1306305,After
