,dsr_balance,dsr_rate,dt,non_dsr_balance,total_balance
166,1652619063.3387394,0.05000000082842315,2023-10-06T00:00:00Z,3824317303.711311,5476936367.050089
167,1638813985.3925388,0.05000000082842315,2023-10-05T00:00:00Z,3831943073.3705373,5470757058.763116
168,1647103175.0839448,0.05000000082842315,2023-10-04T00:00:00Z,3838741951.290597,5485845126.374581
169,1650262290.0458438,0.05000000082842315,2023-10-03T00:00:00Z,3826441118.626443,5476703408.672326
170,1655328235.3798242,0.05000000082842315,2023-10-02T00:00:00Z,3839748989.1056423,5495077224.485506
171,1674778989.3637726,0.05000000082842315,2023-10-01T00:00:00Z,3810757305.467896,5485536294.831708
172,1656559106.3099544,0.05000000082842315,2023-09-30T00:00:00Z,3822492161.429866,5479051267.73986
173,1658366974.570177,0.05000000082842315,2023-09-29T00:00:00Z,3826385102.4733677,5484752077.043584
174,1648542329.1447003,0.05000000082842315,2023-09-28T00:00:00Z,3827460026.912902,5476002356.05764
175,1656807598.517678,0.05000000082842315,2023-09-27T00:00:00Z,3797043229.8531876,5453850828.370904
176,1643450743.600259,0.05000000082842315,2023-09-26T00:00:00Z,3815078529.320562,5458529272.920859
177,1635638276.2100923,0.05000000082842315,2023-09-25T00:00:00Z,3825155454.832161,5460793731.042292
178,1623731538.9017668,0.05000000082842315,2023-09-24T00:00:00Z,3839949193.345799,5463680732.247604
179,1609912631.5593073,0.05000000082842315,2023-09-23T00:00:00Z,3848963841.807821,5458876473.3671665
180,1599838767.2103643,0.05000000082842315,2023-09-22T00:00:00Z,3832591499.3450813,5432430266.555483
181,1596477741.3657956,0.05000000082842315,2023-09-21T00:00:00Z,3833368678.9218054,5429846420.287639
182,1590304340.0723877,0.05000000082842315,2023-09-20T00:00:00Z,3832824776.6046004,5423129116.677026
183,1550079194.9141653,0.05000000082842315,2023-09-19T00:00:00Z,3865024466.8822837,5415103661.796486
184,1540127786.1080153,0.05000000082842315,2023-09-18T00:00:00Z,3870282468.3043385,5410410254.412392
185,1565601838.9399068,0.05000000082842315,2023-09-17T00:00:00Z,3859791630.2437406,5425393469.183685
186,1549136709.0312173,0.05000000082842315,2023-09-16T00:00:00Z,3842490847.4892974,5391627556.520552
187,1537878230.7585897,0.05000000082842315,2023-09-15T00:00:00Z,3832775559.3333406,5370653790.091967
188,1514863282.4848914,0.05000000082842315,2023-09-14T00:00:00Z,3846455694.485721,5361318976.970649
189,1490721776.952368,0.05000000082842315,2023-09-13T00:00:00Z,3841546425.5343337,5332268202.486738
190,1474221765.4913821,0.05000000082842315,2023-09-12T00:00:00Z,3839349027.894851,5313570793.38627
191,1467045526.8618622,0.05000000082842315,2023-09-11T00:00:00Z,3833140469.481347,5300185996.3432455
192,1459015026.4336588,0.05000000082842315,2023-09-10T00:00:00Z,3830970606.15664,5289985632.590335
193,1435205728.3795407,0.05000000082842315,2023-09-09T00:00:00Z,3830297867.1689663,5265503595.548542
194,1420655871.7075894,0.05000000082842315,2023-09-08T00:00:00Z,3837479666.573443,5258135538.281068
195,1403238269.1032584,0.05000000082842315,2023-09-07T00:00:00Z,3838448790.822536,5241687059.925829
196,1394355614.738973,0.05000000082842315,2023-09-06T00:00:00Z,3854107089.5844755,5248462704.323483
197,1369353920.4999812,0.05000000082842315,2023-09-05T00:00:00Z,3849129550.754621,5218483471.254638
198,1356602200.0170372,0.05000000082842315,2023-09-04T00:00:00Z,3871060198.0730524,5227662398.090125
199,1355836299.4362519,0.05000000082842315,2023-09-03T00:00:00Z,3880351160.5377483,5236187459.974035
200,1340299105.2547708,0.05000000082842315,2023-09-02T00:00:00Z,3874223576.1004496,5214522681.355255
201,1328919349.2282193,0.05000000082842315,2023-09-01T00:00:00Z,3872406694.0457034,5201326043.273957
202,1317680275.180089,0.05000000082842315,2023-08-31T00:00:00Z,3896389312.601077,5214069587.7812
203,1304103583.9528377,0.05000000082842315,2023-08-30T00:00:00Z,3898423673.51636,5202527257.469232
204,1292628265.8185494,0.05000000082842315,2023-08-29T00:00:00Z,3904601853.0203085,5197230118.838891
205,1273155892.515366,0.05000000082842315,2023-08-28T00:00:00Z,3881560729.9632792,5154716622.478679
206,1258519537.409727,0.05000000082842315,2023-08-27T00:00:00Z,3894674394.5792055,5153193931.988966
207,1240898344.4482763,0.05000000082842315,2023-08-26T00:00:00Z,3893547511.4052534,5134445855.853563
208,1169770487.0592213,0.05000000082842315,2023-08-25T00:00:00Z,3934692315.1973825,5104462802.256638
209,1195506532.4211943,0.05000000082842315,2023-08-24T00:00:00Z,3921358897.6443815,5116865430.06561
210,1119397155.4571517,0.05000000082842315,2023-08-23T00:00:00Z,3946376696.2614045,5065773851.71859
211,1116097583.5297759,0.05000000082842315,2023-08-22T00:00:00Z,3964855114.5296025,5080952698.059412
212,1125932309.1579425,0.05000000082842315,2023-08-21T00:00:00Z,3959833513.5301414,5085765822.688118
213,1140298056.4413912,0.05000000082842315,2023-08-20T00:00:00Z,3967072535.361132,5107370591.802557
214,1477903595.725195,0.07999999746819175,2023-08-19T00:00:00Z,3929725623.65124,5407629219.37647
215,1447239554.8468997,0.07999999746819175,2023-08-18T00:00:00Z,3930370427.983807,5377609982.830742
216,1391452422.2782354,0.07999999746819175,2023-08-17T00:00:00Z,3928600256.983982,5320052679.262252
217,1383150123.1171813,0.07999999746819175,2023-08-16T00:00:00Z,3925029640.234415,5308179763.35163
218,1354962476.9736772,0.07999999746819175,2023-08-15T00:00:00Z,3927719557.7243233,5282682034.698035
219,1332576842.3035076,0.07999999746819175,2023-08-14T00:00:00Z,3964944563.865388,5297521406.168929
220,1297799053.2380242,0.07999999746819175,2023-08-13T00:00:00Z,3993652965.6926093,5291452018.930668
221,1258707928.8593285,0.07999999746819175,2023-08-12T00:00:00Z,4009134164.8434386,5267842093.702803
222,1231741841.7372324,0.07999999746819175,2023-08-11T00:00:00Z,3969208596.033543,5200950437.770811
223,1174664294.8945582,0.07999999746819175,2023-08-10T00:00:00Z,4006558132.866164,5181222427.760757
224,1000230475.0913017,0.07999999746819175,2023-08-09T00:00:00Z,4046700862.9425755,5046931338.033912
225,885387382.3968898,0.07999999746819175,2023-08-08T00:00:00Z,4043352074.5333266,4928739456.930251
226,700718735.3982505,0.07999999746819175,2023-08-07T00:00:00Z,4026887342.1436944,4727606077.54198
227,402219380.009992,0.07999999746819175,2023-08-06T00:00:00Z,4032681902.7698483,4434901282.779875
228,339459269.3841378,0.0319000035825554,2023-08-05T00:00:00Z,4034647744.317139,4374107013.701312
229,337450801.7667301,0.0319000035825554,2023-08-04T00:00:00Z,4031969887.219641,4369420688.986406
230,345538027.5438146,0.0319000035825554,2023-08-03T00:00:00Z,4051119389.8230014,4396657417.366851
231,344399118.789554,0.0319000035825554,2023-08-02T00:00:00Z,4079337924.6068687,4423737043.396457
232,343857221.3160268,0.0319000035825554,2023-08-01T00:00:00Z,4112781559.033939,4456638780.349999
233,343640593.4036971,0.0319000035825554,2023-07-31T00:00:00Z,4168197108.889265,4511837702.292996
234,344382690.4110658,0.0319000035825554,2023-07-30T00:00:00Z,4153182459.436129,4497565149.847229
235,317313743.51171994,0.0319000035825554,2023-07-29T00:00:00Z,4149418032.2528043,4466731775.764558
236,309808737.4966901,0.0319000035825554,2023-07-28T00:00:00Z,4154765381.126034,4464574118.622758
237,307066867.9565428,0.0319000035825554,2023-07-27T00:00:00Z,4175406092.1780715,4482472960.134648
238,306992522.55267555,0.0319000035825554,2023-07-26T00:00:00Z,4181418632.062134,4488411154.614844
239,308588004.4034758,0.0319000035825554,2023-07-25T00:00:00Z,4194872017.715636,4503460022.119146
240,309735987.0250671,0.0319000035825554,2023-07-24T00:00:00Z,4202231483.797919,4511967470.823021
241,289720121.5719435,0.0319000035825554,2023-07-23T00:00:00Z,4232464943.316165,4522185064.888144
242,289093296.34214073,0.0319000035825554,2023-07-22T00:00:00Z,4231021888.245352,4520115184.587527
243,299012007.8347355,0.0319000035825554,2023-07-21T00:00:00Z,4230063376.3280773,4529075384.1628475
244,277353304.792938,0.0319000035825554,2023-07-20T00:00:00Z,4256055100.82813,4533408405.621102
245,277459744.220443,0.0319000035825554,2023-07-19T00:00:00Z,4257018389.260778,4534478133.481256
246,277963448.1233422,0.0319000035825554,2023-07-18T00:00:00Z,4266620217.2951427,4544583665.41852
247,277850761.938883,0.03489999621844264,2023-07-17T00:00:00Z,4267958257.4987655,4545809019.437682
248,276375034.61608505,0.03489999621844264,2023-07-16T00:00:00Z,4276302600.520652,4552677635.136771
249,281009383.0298542,0.03489999621844264,2023-07-15T00:00:00Z,4282376789.4933767,4563386172.523265
250,281805145.9542424,0.03489999621844264,2023-07-14T00:00:00Z,4281774668.604954,4563579814.559231
251,281751707.15638053,0.03489999621844264,2023-07-13T00:00:00Z,4279014489.079651,4560766196.236066
252,266253464.73802778,0.03489999621844264,2023-07-12T00:00:00Z,4283012177.8668213,4549265642.604884
253,263463976.13985577,0.03489999621844264,2023-07-11T00:00:00Z,4293153349.244119,4556617325.38401
254,253795899.87077376,0.03489999621844264,2023-07-10T00:00:00Z,4287085013.9993315,4540880913.87014
255,253531898.07589263,0.03489999621844264,2023-07-09T00:00:00Z,4293568363.8403926,4547100261.91632
256,247154419.92240614,0.03489999621844264,2023-07-08T00:00:00Z,4299671975.734562,4546826395.657002
257,246828875.81564912,0.03489999621844264,2023-07-07T00:00:00Z,4307554062.064041,4554382937.8797245
258,243679524.27088124,0.03489999621844264,2023-07-06T00:00:00Z,4312601069.157273,4556280593.428189
259,241636503.1734957,0.03489999621844264,2023-07-05T00:00:00Z,4317248545.735285,4558885048.908815
260,210968040.80709457,0.03489999621844264,2023-07-04T00:00:00Z,4334916562.627495,4545884603.434624
261,208751970.1757414,0.03489999621844264,2023-07-03T00:00:00Z,4331344841.1203,4540096811.296076
262,207454327.6294885,0.03489999621844264,2023-07-02T00:00:00Z,4338666665.161099,4546120992.790623
263,207054239.65200883,0.03489999621844264,2023-07-01T00:00:00Z,4342024134.32986,4549078373.981903
264,207603047.16309088,0.03489999621844264,2023-06-30T00:00:00Z,4346451139.824939,4554054186.988065
265,188295099.3290038,0.03489999621844264,2023-06-29T00:00:00Z,4380277436.896301,4568572536.22534
266,193473374.79848814,0.03489999621844264,2023-06-28T00:00:00Z,4397529072.8251295,4591002447.623652
267,191823082.43493852,0.03489999621844264,2023-06-27T00:00:00Z,4410052313.804712,4601875396.239685
268,183896557.26110047,0.03489999621844264,2023-06-26T00:00:00Z,4425641622.897984,4609538180.159118
269,181300349.5057164,0.03489999621844264,2023-06-25T00:00:00Z,4449438526.562535,4630738876.068286
270,180222631.88183916,0.03489999621844264,2023-06-24T00:00:00Z,4454328816.814888,4634551448.696762
271,176651030.011864,0.03489999621844264,2023-06-23T00:00:00Z,4451662921.176752,4628313951.188651
272,167601446.2155049,0.03489999621844264,2023-06-22T00:00:00Z,4447809890.651141,4615411336.866681
273,163562194.8994703,0.03489999621844264,2023-06-21T00:00:00Z,4425760045.5118885,4589322240.411393
274,148563328.56046647,0.03489999621844264,2023-06-20T00:00:00Z,4444597063.241315,4593160391.801816
275,129968066.52319889,0.03489999621844264,2023-06-19T00:00:00Z,4420053396.594031,4550021463.117265
276,106431972.92222267,0.010000000622198524,2023-06-18T00:00:00Z,4426895542.422262,4533327515.34452
277,106133575.5949518,0.010000000622198524,2023-06-17T00:00:00Z,4416527954.3877535,4522661529.98274
278,105265874.72682488,0.010000000622198524,2023-06-16T00:00:00Z,4399862706.303248,4505128581.0301075
279,105181572.14487292,0.010000000622198524,2023-06-15T00:00:00Z,4390483357.310095,4495664929.455002
280,105175071.10972731,0.010000000622198524,2023-06-14T00:00:00Z,4486262679.794248,4591437750.90401
281,105175071.10972731,0.010000000622198524,2023-06-13T00:00:00Z,4491857762.83689,4597032833.946651
282,105154249.05376795,0.010000000622198524,2023-06-12T00:00:00Z,4519204834.370679,4624359083.42448
283,101151792.15265322,0.010000000622198524,2023-06-11T00:00:00Z,4542041297.785607,4643193089.938295
284,100768358.22404785,0.010000000622198524,2023-06-10T00:00:00Z,4544365452.655839,4645133810.879922
285,100768358.22404785,0.010000000622198524,2023-06-09T00:00:00Z,4547990327.066763,4648758685.290845
286,100768358.22404785,0.010000000622198524,2023-06-08T00:00:00Z,4552916007.876228,4653684366.100311
287,100765179.337291,0.010000000622198524,2023-06-07T00:00:00Z,4568037081.447315,4668802260.78464
288,100762374.78835915,0.010000000622198524,2023-06-06T00:00:00Z,4572863959.199787,4673626333.988181
289,100758800.0000511,0.010000000622198524,2023-06-05T00:00:00Z,4586113336.976435,4686872136.976521
290,100790299.83537284,0.010000000622198524,2023-06-04T00:00:00Z,4589665201.117276,4690455500.952684
291,100752121.22109035,0.010000000622198524,2023-06-03T00:00:00Z,4589507909.82691,4690260031.048036
292,100674253.0679516,0.010000000622198524,2023-06-02T00:00:00Z,4590935423.17651,4691609676.244496
